release_year,1600s,1630s,1640s,1660s,1680s,1690s,1740s,1750s,1760s,1780s,1790s,1800s,1810s,1820s,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s,
1890s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1910s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1920s,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1930s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13
1940s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,22
1950s,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,36
1960s,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,9,3,2,4,0,4,0,0,0,0,0,0,156
1970s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,1,17,6,9,11,7,14,9,0,0,0,0,0,648
1980s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,16,6,4,11,23,4,9,12,0,0,0,0,883
1990s,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,7,0,1,0,2,14,8,13,9,17,12,19,9,13,0,0,0,1405
2000s,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,4,0,1,3,3,29,8,13,17,18,19,23,19,14,5,0,0,1818
2010s,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,11,1,0,5,1,27,10,11,25,19,27,18,34,16,18,9,0,1760
2020s,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,1,2,1,2,2,3,0,7,5,6,6,9,7,7,9,2,2,4,2,718
